Asset_A;Asset_B;P-Value
FRT;PPL;0.0028573755924101623
HSY;NTRS;0.0028752042389314177
KMI;UDR;0.0028753898069194274
TDG;WTW;0.0028898076792879426
AMZN;MAS;0.002890977605360298
AES;COF;0.0028999924235675162
KLAC;PNR;0.0029012695044005137
ANET;CZR;0.002902238829521459
MLM;WAB;0.0029036607055053765
EBAY;STT;0.0029069731055007624
CPAY;OXY;0.00291041436632861
STLD;VRSK;0.0029171940839247006
BDX;FDX;0.002918038807914449
GDDY;MSFT;0.002918923464915206
INVH;MNST;0.0029200602524802536
INCY;NSC;0.0029291022347331165
IT;UDR;0.0029460583576184285
DTE;RVTY;0.0029522908836884
KO;WDAY;0.0029592945833811332
CSX;DAL;0.0029633200800416957
ESS;TRGP;0.002985725050201981
D;KMI;0.0029883192762491287
AMP;EXR;0.002993208502888638
ED;LVS;0.00299643569867156
CPAY;RF;0.002998330483465202
AES;FDS;0.003009651280460957
F;GS;0.0030097232768317487
CTAS;TFX;0.003021614745585064
CPAY;HUBB;0.0030233995248653937
SPG;WDC;0.0030316670178835697
EXPE;REGN;0.0030320707194979265
AAPL;CCI;0.0030386003786009174
IQV;LYV;0.003049126390065109
CMS;WYNN;0.003053785542046647
CAH;INVH;0.003054218904163973
CPT;UPS;0.0030607808679882385
ADSK;EQR;0.003063735389960749
ITW;MPC;0.0030744093484654446
NVR;PYPL;0.003075766889574479
CI;V;0.003077212898097318
AVGO;XEL;0.003081199067497935
FICO;MMM;0.0030857557638630136
KKR;PGR;0.003086985401586486
EL;NVR;0.0030926611054103437
DLR;WDAY;0.0030939917895395908
CVX;JBHT;0.003100017121968483
NOC;NVR;0.003101717471246109
EMN;VRSN;0.0031163767207824677
AES;FE;0.003125626153175403
L;MPC;0.0031338472574707734
FTV;PAYC;0.0031486329992385146
BRO;MTCH;0.003160271162250595
AES;PHM;0.0031619451832530718
DLR;WTW;0.003162667354283226
AES;OXY;0.0031661034029955874
DXCM;ROK;0.0031696763688525372
CMI;EBAY;0.0031751526094696172
DXCM;HPQ;0.003179263553854426
AES;PWR;0.0031794158054018833
GPN;RCL;0.0031837429265135528
FTV;MPWR;0.0031851248802503463
BLK;TEL;0.0031913878553389906
ARE;MHK;0.0031969232438507937
ISRG;LYV;0.003198117128325596
NCLH;SLB;0.003202753937842494
AAPL;LVS;0.0032040136652462426
GPN;LYV;0.0032100618614102914
EMR;EXR;0.003213683698288586
HUM;PLD;0.0032171185608924906
HUM;WTW;0.003226471670992951
AWK;MSFT;0.0032348634132433906
ADM;WST;0.0032398618231790186
GE;MPC;0.0032442175172239097
CSX;PNR;0.00325157520168229
ROK;SWK;0.003267804223410385
FRT;TSLA;0.003268198930890193
INVH;PHM;0.0032703137774474055
